customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value,CLV,customer_type
97475543,Niharika Nagi,ektataneja@example.org,9.12988E+11,"23, Nayar Path, Bihar Sharif-154625",Udupi,321865,13-05-2023,Premium,13,451.92,5874.96,VIP
22077605,Megha Sachar,vedant45@example.com,9.15123E+11,"51/302, Buch Chowk
Srinagar-570271",Aligarh,149394,18-06-2024,Inactive,4,825.48,3301.92,Regular
47822591,Hema Bahri,samiazaan@example.com,9.10034E+11,"941
Anne Street, Darbhanga 186125",Begusarai,621411,25-09-2024,Regular,17,1969.81,33486.77,VIP
79726146,Zaitra Vig,ishanvi87@example.org,9.16264E+11,"43/94, Ghosh, Alappuzha 635655",Kozhikode,826054,04-10-2023,New,4,220.09,880.36,Regular
57102800,Januja Verma,atideshpande@example.org,9.17294E+11,"06
Om, Ambarnath 477463",Ichalkaranji,730539,22-03-2024,Inactive,14,578.14,8093.96,VIP
54748429,Darsh More,ynayar@example.org,9.12582E+11,"26/961
Salvi Circle, Durg 406361",Visakhapatnam,883122,22-04-2024,New,2,669.35,1338.7,Regular
49152878,Patrick Sandhu,zehaanmahajan@example.org,9.12413E+11,"304
Tara Road, Gandhinagar-559930",Gwalior,649817,13-09-2024,Premium,4,973.62,3894.48,Regular
16379942,Harshil Kuruvilla,pathakanirudh@example.org,9.13807E+11,"37/62, Basu Chowk
Sikar 515907",Orai,332997,10-04-2024,Inactive,15,1370.56,20558.4,VIP
11071601,Ojas Ahuja,sneha11@example.com,9.12865E+11,"H.No. 99
Kade Road
Ramgarh 695009",Buxar,528426,04-07-2023,Inactive,17,1950.54,33159.18,VIP
68164013,Netra Chander,hwarrior@example.org,9.17646E+11,"H.No. 94
Gupta Path, Hospet-831040",Malegaon,4515,29-06-2023,New,1,1061.82,1061.82,Regular
80404839,Kashish Dora,pushti81@example.net,9.12464E+11,"H.No. 24
Pant Street, Mathura 348430",Katni,642727,13-04-2023,Inactive,10,1537.35,15373.5,Regular
27038630,Megha Thakkar,zinalsarna@example.com,9.16726E+11,"H.No. 81
Sama Street, Danapur-137828",Fatehpur,393286,27-04-2023,Regular,11,1307.28,14380.08,VIP
1655637,Turvi Radhakrishnan,mpandit@example.org,9.1913E+11,"H.No. 404, Bhalla Chowk
Visakhapatnam 048875",Ichalkaranji,548633,17-09-2023,Regular,19,723.95,13755.05,VIP
75566105,Dipta Doctor,peterdhaliwal@example.org,9.12758E+11,"586
Badami Zila, Madhyamgram-394655",Hyderabad,871594,20-03-2024,Regular,18,1432.53,25785.54,VIP
23961725,Zayyan Buch,kalpithayre@example.net,9.1314E+11,"71/67, Oommen Ganj, Purnia 250900",Bhiwandi,629210,11-05-2024,Regular,6,367.74,2206.44,Regular
67749649,Oviya Mitra,aaravdugar@example.com,9.19891E+11,"103, Mahajan Circle
Silchar 256345",Mira-Bhayandar,222577,10-04-2024,Inactive,11,281.16,3092.76,VIP
61461253,Arin Setty,naidushivani@example.org,9.17061E+11,"63/164, Kari Chowk
Moradabad 624164",Amravati,381991,29-08-2024,Inactive,4,789.5,3158,Regular
30619659,Lohit Kalla,vincent81@example.com,9.14467E+11,"58/882, Ramanathan
Nashik 371218",Kochi,400041,18-09-2024,Inactive,14,1992.42,27893.88,VIP
50229203,Rushil Dhingra,htella@example.org,9.10837E+11,"H.No. 99
Ravel Street
Avadi 655413",Tiruchirappalli,598757,14-09-2023,Regular,7,1731.87,12123.09,Regular
13567338,Wahab Borah,bhattlakshit@example.com,9.12286E+11,"H.No. 739, Dewan Marg
Jamshedpur 475311",Hubli–Dharwad,509163,14-10-2024,Premium,10,1054.12,10541.2,Regular
7591711,Triya Kakar,xshetty@example.net,9.13247E+11,"H.No. 65, Ratti Circle, Nellore-187667",Nagercoil,792550,30-01-2024,Regular,12,1494,17928,VIP
22102079,Vrinda Lalla,balakrishnanyutika@example.net,9.17568E+11,"H.No. 73
Gupta Road, Barasat 506282",Alwar,595920,21-06-2024,Premium,10,615.86,6158.6,Regular
48910430,Janani Prasad,abhirambabu@example.com,9.1855E+11,"149
Pall Path, Aurangabad-876025",Bardhaman,125846,04-09-2024,Premium,3,1474.04,4422.12,Regular
27604184,Tripti Nadig,tmaster@example.com,9.18533E+11,"04/18
Maharaj Zila
Pudukkottai 529324",Nandyal,279361,06-10-2023,New,9,1108.86,9979.74,Regular
79672044,Jagdish Vora,hemangini55@example.com,9.15901E+11,"92, Choudhury Ganj, Bhopal-000074",Hapur,964688,17-12-2023,New,8,1115.88,8927.04,Regular
13461704,Zayan Ratta,shivansh35@example.com,9.14996E+11,"33/78
Joshi Path, Ludhiana-975587",Nanded,770516,04-04-2024,Premium,4,1024.45,4097.8,Regular
66135710,Zayan Thakkar,ranveer19@example.net,9.14798E+11,"68/55, Bhattacharyya Zila, Coimbatore 134031",Ramgarh,352680,28-11-2023,New,6,308.63,1851.78,Regular
50572914,Ishani Mukherjee,shivani15@example.net,9.16129E+11,"H.No. 68, Gade Chowk
Siliguri-878991",Bihar Sharif,654429,21-10-2023,Regular,20,701.55,14031,VIP
4386273,Jagrati Sengupta,pandeymahika@example.org,9.11622E+11,"20, Jayaraman Zila
Khora -207127",Nandyal,494307,26-06-2024,Inactive,12,298.97,3587.64,VIP
57537308,Ayush Buch,morejagdish@example.net,9.12414E+11,"079
Goyal Zila, Bhiwani-715658",Jorhat,779981,18-05-2024,New,8,1641.88,13135.04,Regular
34526442,Harita Chatterjee,gaurika82@example.com,9.11099E+11,"H.No. 249, Malhotra
Ghaziabad-893659",Raipur,674102,27-09-2023,Regular,14,1956.45,27390.3,VIP
67383024,Riya Kothari,chowdhuryimaran@example.net,9.17775E+11,"648, Biswas Street, Jalandhar 957104",Kollam,436202,10-04-2024,Premium,14,1240.9,17372.6,VIP
28350645,Alka Srinivasan,xtalwar@example.org,9.17083E+11,"623, Bassi Chowk, Patiala-864851",Ratlam,360999,12-01-2024,Inactive,9,553,4977,Regular
81940369,Nilima Chaudhuri,agrawalmugdha@example.com,9.1254E+11,"H.No. 466, Bhavsar Nagar, Kalyan-Dombivli-115231",Nellore,522947,24-02-2024,Premium,10,316.79,3167.9,Regular
89950235,Aarav Dayal,darsh33@example.net,9.12976E+11,"H.No. 639
Chowdhury Path, Tadepalligudem-993818",Warangal,334280,24-12-2023,Premium,13,1179.29,15330.77,VIP
88202341,Jagrati Dubey,vasatika03@example.net,9.16291E+11,"470, Kibe Zila, Tirupati-332036",Kottayam,174979,20-08-2023,Inactive,9,644.06,5796.54,Regular
41155125,Yahvi Doshi,daliaoviya@example.com,9.18695E+11,"11
Kaul Path, Berhampore 085176",Tenali,82916,22-04-2024,Inactive,14,1454.3,20360.2,VIP
46369552,Keya Modi,bbumb@example.org,9.17249E+11,"49/76
Bansal Path, Bangalore-861073",Jaipur,688982,16-09-2024,Regular,17,456.51,7760.67,VIP
48943848,Tarak Nair,atwalmeghana@example.org,9.14393E+11,"145, Apte Street
Orai-869408",Patiala,993533,21-06-2024,Premium,13,245.46,3190.98,VIP
39645619,Indira Jaggi,falaksunder@example.org,9.13218E+11,"08/524
Toor Path, Imphal 250392",Maheshtala,740640,17-06-2023,Regular,13,1512.4,19661.2,VIP
76917159,Hiral Arya,mason40@example.net,9.19424E+11,"53/93, Saran Road, Sambhal 129176",Ludhiana,591173,23-06-2024,Premium,11,1777.83,19556.13,VIP
72366758,Vedant Sengupta,xbarad@example.net,9.15548E+11,"51/364, Dewan Path
Mumbai-975747",Ichalkaranji,228827,19-11-2023,Inactive,9,513.7,4623.3,Regular
66140659,Omya Iyengar,ishanimaharaj@example.net,9.16882E+11,"H.No. 51, Lanka Street
Bettiah 293595",Ongole,15696,09-12-2023,Premium,8,509.85,4078.8,Regular
